CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
43.24,0,22.34,0,1.3,3.4,0,0,70.28,0,0,0,0,0,0,0,0,0,0,0,0,0,56508.34,67941.47,390141.8,390140.4,5.57,0,0,157286400,127755095,127664236,1048576,0,13.74,0.350920858,4.029005215,17.25970831,0.350529541,0.764159602,1,0.350920858,0,126976,15,1144113,1047270,0,70,199,0.2,1047067.4,194,1622,149.76,131.72,7.421875
43.59,0,22.66,0,1.31,3.41,0,0,70.97,0,0,2,0,0.03,0,0,0,17.2,0,6.9,1.36,0.01,55601.64,66876.02,383868.2,383864.4,5.48,0,0,157286400,126091191,126038923,1048576,0,13.67,0.349897413,4.02801854,17.25978439,0.350037738,0.763629277,1,0.349897413,0,126976,0,1138294,1044880,0,71,221,0,1044732.2,63,1622,142.04,130.65,7.2265625
42.78,0,24.85,0,1.29,3.29,0,0,72.21,0,0,0,0,0,0,0,0,0,0,0,0,0,54768.32,65821.81,378119.8,378118.2,5.39,0,0,157286400,126457765,126416294,1048576,0,13.6,0.34677996,4.02518524,17.25027774,0.348619815,0.759708521,1,0.34677996,0,126976,0,1134942,1045783,0,72,190,0,1045658.6,80,1619,142.76,130.99,7.421875
43.04,0,23.59,0,1.31,3.35,0,0,71.29,0,0,0,0,0,0,0,0,0,0,0,0,0,55309.65,66482.74,381884.8,381882.8,5.45,0,0,157286400,128618219,128524288,1048576,0,13.58,0.34458607,4.022216056,17.23350986,0.348056911,0.761538771,1,0.34458607,0,126976,1,1140343,1051961,0,73,147,0,1051829,83,1622,151.64,133.26,7.421875
43.65,0,24.6,0,1.29,3.28,0,0,72.82,0,0,0,0,0,0,0,0,0,0,0,0,0,54183.43,65148.53,374079.6,374079.6,5.34,0,0,157286400,129160059,129114917,1048576,0,13.69,0.337976321,4.018080115,17.230597,0.345599144,0.758520408,1,0.337976321,0,126976,12,1136482,1055445,0,73,214,0.4,1055325.2,110,1621,144.96,132.47,7.6171875
45.44,0,24.43,0,1.31,3.33,0,0,74.51,0,0,0.4,0,0,0,0,0,0.75,0,4,0.08,0,53941.24,64874.12,372381.2,372379,5.31,0,0,157286400,129753122,129717428,1048576,0,13.63,0.337371111,4.012243011,17.20713079,0.344857381,0.759117171,1,0.337371111,0,126976,0,1132457,1055368,0,74,107,0.4,1055179.6,219,1621,143.95,132.71,7.6171875
44,0,24.91,0,1.31,3.32,0,0,73.54,0,0,0,0,0,0,0,0,0,0,0,0,0,54146.22,65103.84,373818.4,373818.6,5.33,0,0,157286400,128846191,128828217,1048576,0,13.76,0.336438199,4.016603519,17.2358183,0.344689905,0.758030696,1,0.336438199,0,126976,0,1136745,1057528,0,74,126,0.8,1057371,149,1621,138.04,131.8,7.6171875
44.14,0.01,25.42,0,1.3,3.28,0,0,74.15,0,0,0,0,0,0,0,0,0,0,0,0,0,53352.53,64081.19,368389.4,368408.6,5.25,0,0,157286400,127549552,127542137,1048576,0,13.85,0.334166567,4.013673759,17.21999663,0.34299217,0.756900148,1,0.334166567,0,126976,135,1135587,1062863,0,74,189,0,1062667.4,141,1633,137.24,131.74,7.8125
44.39,0,25.4,0,1.32,3.32,0,0,74.43,0,0,0.4,0,0.01,0,0,0,16,0,0.5,0,0,53517.12,64321.55,369492.8,369489.4,5.27,0,0,157286400,129651295,129566425,1048576,0,13.79,0.335167171,4.020375685,17.24378101,0.343675863,0.756620347,1,0.335167171,0,126976,3,1135461,1059504,0,74,153,0,1059326,74,1639,138.63,132.29,7.6171875
44.46,0,25.59,0,1.31,3.26,0,0,74.62,0,0,0,0,0,0,0,0,0,0,0,0,0,53497.75,64391.31,369292,369292.6,5.27,0,0,157286400,127059901,127018323,1048576,0,13.77,0.335496248,4.013932094,17.21650657,0.344074013,0.757022499,1,0.335496248,0,126976,0,1134380,1059789,0,74,179,0.4,1059734.4,106,1647,135.44,131.84,7.6171875
44.27,0,25.37,0,1.31,3.33,0,0,74.28,0,0,0,0,0,0,0,0,0,0,0,0,0,53874.11,64816.85,371946.6,371943.4,5.31,0,0,157286400,127582143,127510224,1048576,0,13.87,0.334034836,4.01465273,17.21968886,0.343363907,0.757582292,1,0.334034836,0,126976,2,1135608,1060538,0,74,151,0,1060391.6,154,1650,128.38,130.47,7.6171875
